,Sex,District,Avg_score
674,female,6,74
675,male,15,75
676,female,21,81
677,female,9,69
678,female,24,82
679,female,2,77
680,male,7,82
681,male,32,84
682,female,2,76
683,female,25,84
684,female,5,68
685,female,7,73
686,male,10,80
687,female,18,78
688,male,5,69
689,female,30,85
690,male,4,88
691,male,1,84
692,male,23,72
693,male,9,87
694,male,19,93
695,female,4,80
696,male,10,82
697,female,25,94
698,female,23,84
699,male,8,83
700,male,22,84
701,female,17,85
702,female,7,80
703,female,1,80
704,male,18,74
705,female,5,78
706,male,21,69
707,male,31,68
708,female,3,72
709,female,6,76
710,male,15,79
711,female,7,87
712,male,2,87
713,male,26,69
714,male,12,86
715,female,29,81
716,male,27,81
717,male,25,84
718,male,18,76
719,female,28,81
720,male,26,91
721,male,18,83
722,female,24,68
723,female,3,82
724,male,17,88
725,female,24,86
726,male,24,75
727,female,23,69
728,male,7,79
729,male,27,88
730,male,25,84
731,male,20,64
732,female,27,91
733,male,9,77
734,female,15,83
735,male,13,74
736,male,7,76
737,female,9,81
738,female,7,85
739,female,3,79
740,male,11,81
741,female,25,89
742,male,13,80
743,female,9,82
744,female,32,76
745,male,19,79
746,male,7,76
747,male,31,77
748,female,8,73
749,male,28,83
750,female,12,76
751,male,15,77
752,female,16,92
753,male,8,83
754,female,4,68
755,male,12,81
756,female,14,72
757,male,11,80
758,female,16,75
759,female,5,78
760,female,23,86
761,female,22,83
762,female,21,87
763,male,27,80
764,female,23,95
765,female,17,75
766,male,26,93
767,female,19,92
768,male,7,80
769,male,28,87
770,female,19,88
771,male,22,90
772,female,23,65
773,male,1,85
774,female,8,79
775,female,26,80
776,male,31,88
777,male,1,77
778,female,20,85
779,female,14,77
780,female,26,94
781,male,26,83
782,male,8,80
783,male,18,93
784,male,23,88
785,male,29,82
786,female,20,83
787,female,12,65
788,male,21,81
789,male,26,89
790,female,7,76
791,female,13,79
792,male,15,75
793,male,5,85
794,female,1,85
795,male,8,88
796,female,8,76
797,male,24,70
798,male,19,76
799,male,2,74
800,male,8,77
801,male,13,84
802,male,6,81
803,male,15,82
804,male,15,76
805,male,6,80
806,male,3,71
807,male,21,80
808,female,19,82
809,female,13,89
810,female,19,79
811,male,4,88
812,male,12,87
813,male,26,73
814,male,10,89
815,female,30,72
816,male,12,80
817,male,6,73
818,male,11,72
819,male,28,79
820,male,13,83
821,female,18,80
822,male,7,64
823,male,5,86
824,female,5,79
825,male,21,79
826,female,4,84
827,male,17,85
828,male,3,70
829,female,19,84
830,female,7,72
831,female,6,72
832,male,7,82
833,female,13,78
834,female,20,85
835,female,23,72
836,male,20,83
837,male,8,82
838,female,8,76
839,male,16,84
840,male,15,72
841,female,8,78
842,female,13,70
843,female,32,74
844,female,25,83
845,female,21,86
846,male,4,72
847,female,31,72
848,female,16,76
849,male,10,67
850,male,8,90
851,male,18,90
852,female,23,83
853,male,32,66
854,female,10,73
855,male,13,76
856,male,31,77
857,female,21,76
858,female,16,77
859,male,8,69
860,female,8,71
861,female,7,75
862,female,17,74
863,male,12,76
864,male,22,93
865,male,21,71
866,male,18,87
867,female,19,85
868,female,3,69
869,male,10,83
870,female,14,77
871,male,30,70
872,female,15,77
873,female,13,86
874,male,32,84
875,female,29,88
876,female,8,79
877,male,8,72
878,male,8,80
879,female,20,78
880,male,20,81
881,male,12,75
882,male,10,80
883,female,19,89
884,female,8,88
885,male,18,90
886,male,12,81
887,female,8,87
888,male,26,84
889,male,17,82
890,female,22,68
891,male,20,73
892,male,19,77
893,male,17,67
894,female,14,80
895,female,11,83
896,male,30,75
897,male,18,88
898,female,16,79
899,female,18,80
900,female,18,77
901,female,7,91
902,male,32,84
903,male,4,79
904,female,9,86
905,male,32,79
906,female,13,87
907,male,14,70
908,male,16,75
909,female,6,83
910,female,1,75
911,female,30,82
912,male,6,66
913,male,18,76
914,male,32,76
915,female,1,84
916,female,12,75
917,male,2,66
918,female,9,81
919,male,17,93
920,female,12,89
921,female,23,83
922,male,2,83
923,male,20,83
924,male,25,80
925,male,28,90
926,male,14,83
927,male,7,83
928,male,15,83
929,male,19,77
930,male,8,73
931,male,17,81
932,female,18,79
933,female,16,82
934,female,16,69
935,male,15,70
936,male,26,76
937,female,25,82
938,female,15,78
939,female,23,76
940,male,25,86
941,male,9,92
942,female,13,94
943,female,9,69
944,male,20,82
945,male,16,87
946,female,6,83
947,male,32,64
948,female,21,77
949,male,21,90
950,male,24,73
951,female,9,75
952,male,1,67
953,female,19,75
954,female,23,89
955,female,16,73
956,male,1,80
957,female,4,78
958,male,26,74
959,male,6,89
960,female,5,75
961,female,30,75
962,male,17,72
963,male,26,77
964,female,6,85
965,male,21,78
966,male,24,84
967,female,2,85
968,female,2,87
969,female,4,76
970,male,7,89
971,female,9,75
972,female,22,81
973,female,18,79
974,male,27,82
975,male,25,69
976,male,5,88
977,female,28,80
978,male,22,89
979,female,7,83
980,female,18,78
981,female,27,69
982,male,27,86
983,female,27,80
984,male,21,75
985,female,14,84
986,female,23,77
987,female,23,78
988,female,27,77
989,male,24,92
990,male,32,85
991,male,18,74
992,female,31,76
993,female,2,79
994,male,19,79
995,male,2,86
996,female,21,83
997,male,24,73
998,female,28,94
999,female,11,91
1000,male,25,82
1001,female,11,72
1002,male,24,80
1003,male,25,76
1004,male,2,90
1005,female,27,85
1006,male,29,83
1007,male,1,73
1008,male,4,87
1009,male,32,87
1010,male,19,78
1011,male,13,81
1012,male,9,81
1013,female,20,73
1014,female,12,78
1015,female,26,84
1016,female,18,85
1017,male,10,82
1018,male,31,89
1019,male,2,87
1020,female,5,91
1021,female,5,91
1022,female,1,84
1023,male,16,82
1024,female,12,73
1025,female,19,79
1026,male,31,79
1027,male,17,64
1028,male,15,67
1029,male,28,80
1030,female,15,80
1031,female,24,84
1032,male,6,71
1033,female,22,71
1034,male,26,72
1035,female,31,77
1036,female,22,71
1037,female,10,65
1038,male,8,71
1039,female,13,84
1040,female,23,66
1041,female,6,77
1042,male,13,71
1043,female,12,68
1044,female,19,87
1045,male,13,81
1046,female,32,80
1047,female,14,79
1048,female,20,93
1049,female,6,90
1050,female,23,81
1051,female,8,93
1052,male,11,73
1053,female,30,92
1054,male,9,77
1055,female,20,74
1056,male,25,86
1057,male,22,84
1058,female,6,85
1059,female,26,75
1060,female,9,82
1061,female,32,69
1062,female,20,95
1063,female,23,85
1064,male,24,77
1065,female,21,73
1066,male,2,82
1067,male,9,70
1068,male,1,87
1069,male,11,90
1070,male,20,69
1071,female,1,78
1072,female,6,79
1073,male,4,97
1074,female,11,76
1075,female,14,85
1076,female,9,78
1077,male,2,76
1078,male,24,85
1079,male,32,81
1080,male,14,74
1081,male,8,70
1082,male,25,68
1083,female,4,82
1084,female,26,95
1085,male,25,89
1086,female,14,85
1087,male,32,71
1088,male,10,81
1089,male,28,74
1090,female,30,86
1091,female,7,81
1092,female,21,85
1093,female,25,84
1094,male,4,86
1095,female,13,79
1096,female,27,85
1097,female,19,82
1098,female,6,72
1099,male,12,73
1100,female,19,78
1101,female,24,67
1102,female,11,72
1103,male,14,78
1104,male,27,73
1105,male,10,84
1106,female,9,79
1107,male,24,78
1108,female,25,74
1109,male,1,78
1110,male,13,75
1111,female,20,76
1112,male,10,96
1113,female,25,88
1114,male,10,78
1115,male,14,80
1116,female,17,77
1117,female,29,75
1118,male,4,77
1119,male,24,75
1120,male,30,69
1121,female,6,77
1122,female,25,81
1123,male,17,81
1124,male,26,75
1125,female,2,66
1126,female,25,76
1127,male,1,86
1128,female,27,79
1129,male,20,79
1130,female,3,76
1131,female,1,85
1132,male,2,77
1133,male,5,94
1134,female,9,80
1135,female,24,70
1136,female,24,88
1137,female,27,81
1138,female,16,77
1139,female,10,70
1140,male,5,79
1141,male,25,80
1142,male,14,86
1143,male,19,86
1144,male,18,79
1145,male,8,79
1146,male,19,80
1147,female,3,78
1148,male,11,86
1149,female,12,67
1150,male,31,86
1151,male,19,76
1152,female,4,79
1153,female,10,81
1154,male,13,81
1155,female,28,77
1156,female,29,74
1157,female,6,77
1158,male,1,88
1159,female,32,82
1160,female,5,71
1161,male,11,83
1162,female,24,86
1163,female,25,74
1164,male,15,81
1165,female,32,82
1166,female,25,79
1167,male,27,76
1168,male,32,97
1169,female,29,73
1170,male,9,78
1171,female,6,84
1172,male,11,80
1173,male,32,74
1174,female,16,71
1175,female,30,80
1176,male,13,70
1177,female,28,82
1178,male,28,67
1179,male,19,72
1180,female,30,81
1181,male,27,75
1182,male,5,79
1183,male,5,91
1184,male,7,84
1185,female,12,76
1186,male,6,85
1187,male,6,72
1188,female,18,88
1189,female,26,80
1190,female,9,73
1191,female,29,78
1192,male,17,66
1193,male,12,86
1194,female,5,79
1195,female,8,77
1196,female,20,75
1197,male,12,74
1198,female,6,74
1199,male,31,84
1200,male,19,76
1201,female,31,73
1202,male,14,71
1203,female,9,67
1204,female,32,71
1205,female,25,86
1206,female,2,91
1207,female,14,86
1208,male,25,72
1209,male,22,72
1210,female,21,79
1211,male,16,80
1212,male,32,87
1213,female,24,79
1214,male,6,83
1215,male,15,68
1216,female,15,82
1217,female,2,78
1218,male,24,84
1219,female,32,84
1220,male,8,81
1221,female,28,95
1222,male,17,86
1223,female,16,75
1224,male,20,76
1225,male,25,81
1226,female,21,78
1227,male,16,81
1228,female,10,86
1229,male,27,66
1230,male,24,75
1231,female,23,64
1232,male,22,67
1233,male,27,74
1234,male,32,95
1235,female,10,83
1236,male,11,80
1237,female,26,80
1238,female,1,93
1239,male,32,97
1240,female,13,72
1241,female,25,79
1242,male,19,76
1243,female,2,91
1244,male,3,72
1245,female,11,70
1246,male,30,62
1247,male,14,80
1248,male,10,67
1249,male,24,78
1250,male,26,70
1251,female,20,77
1252,male,1,81
1253,female,2,84
1254,male,3,75
1255,female,30,82
1256,female,31,81
1257,male,22,83
1258,female,1,77
1259,female,28,86
1260,female,8,79
1261,female,15,69
1262,male,24,80
1263,female,9,83
1264,male,17,84
1265,male,5,76
1266,female,32,71
1267,male,8,83
1268,female,15,79
1269,male,8,76
1270,female,2,80
1271,female,25,83
1272,female,14,76
1273,female,9,91
1274,male,29,87
1275,male,17,63
1276,male,13,79
1277,male,13,63
1278,male,8,81
1279,female,1,78
1280,male,8,63
1281,female,31,83
1282,male,30,86
1283,female,13,79
1284,female,13,78
1285,female,31,78
1286,female,24,83
1287,male,4,90
1288,female,3,77
1289,male,29,84
1290,male,18,86
1291,male,25,78
1292,female,32,73
1293,female,8,78
1294,male,10,94
1295,female,29,95
1296,male,28,84
1297,female,31,74
1298,female,4,78
1299,male,30,86
1300,female,3,76
1301,female,4,80
1302,female,14,72
1303,female,9,72
1304,female,6,87
1305,female,20,76
1306,male,3,92
1307,female,9,69
1308,female,29,77
1309,female,19,80
1310,male,31,73
1311,female,31,88
1312,male,27,75
1313,female,1,82
1314,female,28,74
1315,female,28,90
1316,male,10,81
1317,female,24,69
1318,male,31,98
1319,female,9,74
1320,female,27,87
1321,male,30,82
1322,female,16,81
1323,female,25,86
1324,female,16,81
1325,male,9,69
1326,male,9,91
1327,male,10,68
1328,female,28,90
1329,male,6,71
1330,female,32,84
1331,female,23,66
1332,female,20,72
1333,male,7,85
1334,female,17,93
1335,male,25,89
1336,female,14,69
1337,female,32,82
1338,female,8,84
1339,female,7,67
1340,male,15,77
1341,female,12,71
1342,male,24,73
1343,female,7,83
1344,male,31,82
1345,female,5,92
1346,male,8,88
1347,female,16,81
1348,male,15,80
1349,female,13,84
1350,male,7,75
1351,male,3,71
1352,male,19,78
1353,female,26,87
1354,female,16,86
1355,male,2,89
1356,female,3,78
1357,male,6,75
1358,female,7,82
1359,male,25,71
1360,male,26,81
1361,female,25,77
1362,male,30,71
1363,female,14,84
1364,male,12,75
1365,male,5,72
1366,female,30,73
1367,female,27,75
1368,female,3,95
1369,female,22,83
1370,male,32,80
1371,female,30,66
1372,female,13,76
1373,female,25,86
1374,male,10,89
1375,female,15,69
1376,female,8,76
1377,male,28,79
1378,male,5,66
1379,female,30,75
1380,female,9,81
1381,female,9,85
1382,female,4,85
1383,female,9,88
1384,male,7,79
1385,female,27,75
1386,male,23,78
1387,female,7,81
1388,female,19,83
1389,female,3,87
1390,female,8,84
1391,female,7,84
1392,male,11,84
1393,male,16,76
1394,female,4,65
1395,male,32,82
1396,male,20,78
1397,female,30,81
1398,male,28,73
1399,female,18,86
1400,male,14,70
1401,male,15,74
1402,male,13,82
1403,male,6,70
1404,male,13,91
1405,male,8,86
1406,female,2,76
1407,male,21,85
1408,female,5,80
1409,female,27,71
1410,male,27,83
1411,male,18,88
1412,female,26,85
1413,male,27,73
1414,female,19,75
1415,male,15,71
1416,female,13,87
1417,female,22,85
1418,female,23,85
1419,male,10,92
1420,male,24,76
1421,female,23,86
1422,male,24,83
1423,female,20,83
1424,female,7,79
1425,female,6,72
1426,female,25,81
1427,male,29,93
1428,female,5,82
1429,female,30,75
1430,male,17,81
1431,male,31,74
1432,female,5,86
1433,male,30,72
1434,female,4,87
1435,male,14,90
1436,female,25,78
1437,male,3,86
1438,male,25,72
1439,male,31,76
1440,female,17,87
1441,female,3,76
1442,female,21,71
1443,female,9,76
1444,female,15,75
1445,female,30,80
1446,male,25,89
1447,male,31,84
1448,female,15,79
1449,female,31,83
1450,male,22,80
1451,male,28,80
1452,female,5,85
1453,female,26,76
1454,male,18,77
1455,male,10,75
1456,male,32,85
1457,female,16,90
1458,female,28,83
1459,female,24,88
1460,male,9,84
1461,male,11,84
1462,female,15,79
1463,male,15,81
1464,female,25,79
1465,female,29,77
1466,female,11,68
1467,male,4,82
1468,male,6,70
1469,female,1,85
1470,male,18,93
1471,female,13,73
1472,male,12,85
1473,female,7,72
1474,female,2,73
1475,male,11,71
1476,female,19,81
1477,male,23,78
1478,male,30,85
1479,male,7,70
1480,male,24,79
1481,male,2,80
1482,male,32,81
1483,male,2,76
1484,male,13,90
1485,male,4,94
1486,female,9,84
1487,female,28,85
1488,male,28,87
1489,male,29,79
1490,male,32,92
1491,male,17,75
1492,female,21,76
1493,male,17,83
1494,female,2,92
1495,female,29,77
1496,male,21,70
1497,female,30,85
1498,female,29,83
1499,male,23,77
1500,male,31,76
1501,male,9,65
1502,female,23,86
1503,female,16,75
1504,female,22,76
1505,female,15,76
1506,male,22,84
1507,male,2,85
1508,female,21,76
1509,female,9,84
1510,female,18,78
1511,female,21,73
1512,female,18,68
1513,female,7,80
1514,female,5,74
1515,male,10,76
1516,male,20,84
1517,female,19,88
1518,male,18,77
1519,female,16,82
1520,male,26,68
1521,female,9,74
1522,male,28,73
1523,female,26,83
1524,male,12,69
1525,female,23,84
1526,female,4,73
1527,female,15,80
1528,male,27,69
1529,male,11,82
1530,male,10,81
1531,male,2,86
1532,male,4,74
1533,male,32,85
1534,female,11,84
1535,female,6,65
1536,female,31,81
1537,male,28,78
1538,male,9,84
1539,male,30,74
1540,male,22,85
1541,male,7,80
1542,female,16,70
1543,male,3,81
1544,male,19,74
1545,male,21,88
1546,male,30,82
1547,male,9,79
1548,male,25,81
1549,male,30,77
1550,female,17,80
1551,male,2,66
1552,male,6,77
1553,female,30,88
1554,male,22,69
1555,male,24,86
1556,male,32,70
1557,female,22,76
1558,female,12,78
1559,male,30,94
1560,female,2,82
1561,female,22,68
1562,female,27,82
1563,female,13,74
1564,male,7,80
1565,female,4,70
1566,male,10,79
1567,male,2,88
1568,female,13,87
1569,female,6,79
1570,male,3,80
1571,female,29,72
1572,female,2,86
1573,female,6,76
1574,male,30,74
1575,female,13,92
1576,male,10,82
1577,male,18,81
1578,male,28,78
1579,male,9,85
1580,male,3,72
1581,male,13,80
1582,male,3,80
1583,male,32,86
1584,female,3,83
1585,female,15,91
1586,male,17,87
1587,female,17,86
1588,male,17,88
1589,female,10,77
1590,female,23,86
1591,female,27,85
1592,female,14,69
1593,male,3,67
1594,female,3,79
1595,female,32,80
1596,female,28,77
1597,male,13,90
1598,female,15,76
1599,male,17,93
1600,female,31,76
1601,female,13,75
1602,female,7,81
1603,female,32,70
1604,male,11,84
1605,female,22,80
1606,male,29,81
1607,female,30,73
1608,male,16,78
1609,male,19,81
1610,male,24,75
1611,male,28,70
1612,female,22,88
1613,male,3,82
1614,male,12,82
1615,male,3,73
1616,male,30,66
1617,male,22,70
1618,female,3,77
1619,female,14,82
1620,male,25,77
1621,male,23,81
1622,male,24,81
1623,male,6,80
1624,female,28,71
1625,male,6,78
1626,female,30,63
1627,male,27,62
1628,male,30,70
1629,male,19,86
1630,female,27,86
1631,female,20,76
1632,male,21,78
1633,female,18,81
1634,male,17,82
1635,female,5,92
1636,male,12,75
1637,male,8,75
1638,female,26,89
1639,male,7,90
1640,female,25,82
1641,female,12,77
1642,female,17,63
1643,male,26,89
1644,male,6,72
1645,male,23,70
1646,female,6,81
1647,male,31,75
1648,female,7,64
1649,male,18,81
1650,male,7,74
1651,male,32,80
1652,female,30,88
1653,male,23,91
1654,female,18,86
1655,male,14,79
1656,female,20,69
1657,female,12,88
1658,male,14,77
1659,female,32,88
1660,male,20,77
1661,male,31,74
1662,male,28,69
